"Barangay I (Poblacion), Alaminos"
"Bagong Kalsada, Calamba"
"Bañadero, Calamba"
"Banlic, Calamba"
"Barandal, Calamba"
"Barangay 1 (Poblacion), Calamba"
"Barangay 2 (Poblacion), Calamba"
"Barangay 3 (Poblacion), Calamba"
"Barangay 4 (Poblacion), Calamba"
"Barangay 5 (Poblacion), Calamba"
"Barangay 6 (Poblacion), Calamba"
"Barangay 7 (Poblacion), Calamba"
"Batino, Calamba"
"Bubuyan, Calamba"
"Bucal, Calamba"
"Bunggo, Calamba"
"Burol, Calamba"
"Camaligan, Calamba"
"Canlubang, Calamba"
"Halang, Calamba"
"Hornalan, Calamba"
"Kay-Anlog, Calamba"
"La Mesa, Calamba"
"Laguerta, Calamba"
"Lawa, Calamba"
"Lecheria, Calamba"
"Lingga, Calamba"
"Looc, Calamba"
"Mabato, Calamba"
"Majada Labas, Calamba"
"Makiling, Calamba"
"Mapagong, Calamba"
"Masili, Calamba"
"Maunong, Calamba"
"Mayapa, Calamba"
"Milagrosa (Tulo), Calamba"
"Paciano Rizal, Calamba"
"Palingon, Calamba"
"Palo-Alto, Calamba"
"Pansol, Calamba"
"Parian, Calamba"
"Prinza, Calamba"
"Punta, Calamba"
"Puting Lupa, Calamba"
"Real, Calamba"
"Saimsim, Calamba"
"Sampiruhan, Calamba"
"San Cristobal, Calamba"
"San Jose, Calamba"
"San Juan, Calamba"
"Sirang Lupa, Calamba"
"Sucol, Calamba"
"Turbina, Calamba"
"Ulango, Calamba"
"Uwisan, Calamba"
"Balayhangin, Calauan"
"Bangyas, Calauan"
"Dayap, Calauan"
"Hanggan, Calauan"
"Imok, Calauan"
"Kanluran (Poblacion), Calauan"
"Lamot 1, Calauan"
"Lamot 2, Calauan"
"Limao, Calauan"
"Mabacan, Calauan"
"Masiit, Calauan"
"Paliparan, Calauan"
"Perez, Calauan"
"Prinza, Calauan"
"San Isidro, Calauan"
"Santo Tomas, Calauan"
"Silangan (Poblacion), Calauan"
"Anglas, Cavinti"
"Bangco, Cavinti"
"Bukal, Cavinti"
"Bulajo, Cavinti"
"Cansuso, Cavinti"
"Duhat, Cavinti"
"Inao-Awan, Cavinti"
"Kanluran Talaongan, Cavinti"
"Labayo, Cavinti"
"Layasin, Cavinti"
"Layug, Cavinti"
"Mahipon, Cavinti"
"Paowin, Cavinti"
"Poblacion, Cavinti"
"Silangan Talaongan, Cavinti"
"Sisilmin, Cavinti"
"Sumucab, Cavinti"
"Tibatib, Cavinti"
"Udia, Cavinti"
"Asana (Poblacion), Famy"
"Bacong-Sigsigan, Famy"
"Bagong Pag-Asa (Poblacion), Famy"
"Balitoc, Famy"
"Banaba (Poblacion), Famy"
"Batuhan, Famy"
"Bulihan, Famy"
"Caballero (Poblacion), Famy"
"Calumpang (Poblacion), Famy"
"Cuebang Bato, Famy"
"Damayan (Poblacion), Famy"
"Kapatalan, Famy"
"Kataypuanan, Famy"
"Liyang, Famy"
"Maate, Famy"
"Magdalo (Poblacion), Famy"
"Mayatba, Famy"
"Minayutan, Famy"
"Salangbato, Famy"
"Tunhac, Famy"
"Longos, Kalayaan"
"San Antonio, Kalayaan"
"San Juan (Poblacion), Kalayaan"
"Bagong Anyo (Poblacion), Liliw"
"Bayate, Liliw"
"Bongkol, Liliw"
"Bubukal, Liliw"
"Cabuyao, Liliw"
"Calumpang, Liliw"
"Culoy, Liliw"
"Dagatan, Liliw"
"Daniw (Danliw), Liliw"
"Dita, Liliw"
"Ibabang Palina, Liliw"
"Ibabang San Roque, Liliw"
"Ibabang Sungi, Liliw"
"Ibabang Taykin, Liliw"
"Ilayang Palina, Liliw"
"Ilayang San Roque, Liliw"
"Ilayang Sungi, Liliw"
"Ilayang Taykin, Liliw"
"Kanlurang Bukal, Liliw"
"Laguan, Liliw"
"Luquin, Liliw"
"Malabo-Kalantukan, Liliw"
"Masikap (Poblacion), Liliw"
"Maslun (Poblacion), Liliw"
"Mojon, Liliw"
"Novaliches, Liliw"
"Oples, Liliw"
"Pag-Asa (Poblacion), Liliw"
"Palayan, Liliw"
"Rizal (Poblacion), Liliw"
"San Isidro, Liliw"
"Silangang Bukal, Liliw"
"Tuy-Baanan, Liliw"
"Anos, Los Baños"
"Bagong Silang, Los Baños"
"Bambang, Los Baños"
"Batong Malake, Los Baños"
"Baybayin (Poblacion), Los Baños"
"Bayog, Los Baños"
"Lalakay, Los Baños"
"Maahas, Los Baños"
"Malinta, Los Baños"
"Mayondon, Los Baños"
"Putho Tuntungin, Los Baños"
"San Antonio, Los Baños"
"Tadlak, Los Baños"
"Timugan (Poblacion), Los Baños"
"Barangay Zone I (Poblacion), Luisiana"
"Barangay Zone II (Poblacion), Luisiana"
"Barangay Zone III (Poblacion), Luisiana"
"Barangay Zone IV (Poblacion), Luisiana"
"Barangay Zone V (Poblacion), Luisiana"
"Barangay Zone VI (Poblacion), Luisiana"
"Barangay Zone VII (Poblacion), Luisiana"
"Barangay Zone VIII (Poblacion), Luisiana"
"De La Paz, Luisiana"
"San Antonio, Luisiana"
"San Buenaventura, Luisiana"
"San Diego, Luisiana"
"San Isidro, Luisiana"
"San Jose, Luisiana"
"San Juan, Luisiana"
"San Luis, Luisiana"
"San Pablo, Luisiana"
"San Pedro, Luisiana"
"San Rafael, Luisiana"
"San Roque, Luisiana"
"San Salvador, Luisiana"
"Santo Domingo, Luisiana"
"Santo Tomas, Luisiana"
"Bagong Silang, Lumban"
"Balimbingan (Poblacion), Lumban"
"Balubad, Lumban"
"Caliraya, Lumban"
"Concepcion, Lumban"
"Lewin, Lumban"
"Maracta (Poblacion), Lumban"
"Maytalang I, Lumban"
"Maytalang II, Lumban"
"Primera Parang (Poblacion), Lumban"
"Primera Pulo (Poblacion), Lumban"
"Salac (Poblacion), Lumban"
"Santo Niño (Poblacion), Lumban"
"Segunda Parang (Poblacion), Lumban"
"Segunda Pulo (Poblacion), Lumban"
"Wawa, Lumban"
"Amuyong, Mabitac"
"Bayanihan (Poblacion), Mabitac"
"Lambac (Poblacion), Mabitac"
"Libis ng Nayon (Poblacion), Mabitac"
"Lucong, Mabitac"
"Maligaya (Poblacion), Mabitac"
"Masikap (Poblacion), Mabitac"
"Matalatala, Mabitac"
"Nanguma, Mabitac"
"Numero, Mabitac"
"Paagahan, Mabitac"
"Pag-Asa (Poblacion), Mabitac"
"San Antonio, Mabitac"
"San Miguel, Mabitac"
"Sinagtala (Poblacion), Mabitac"
"Alipit, Magdalena"
"Baanan, Magdalena"
"Balanac, Magdalena"
"Bucal, Magdalena"
"Buenavista, Magdalena"
"Bungkol, Magdalena"
"Buo, Magdalena"
"Burlungan, Magdalena"
"Cigaras, Magdalena"
"Halayhayin, Magdalena"
"Ibabang Atingay, Magdalena"
"Ibabang Butnong, Magdalena"
"Ilayang Atingay, Magdalena"
"Ilayang Butnong, Magdalena"
"Ilog, Magdalena"
"Malaking Ambling, Magdalena"
"Malinao, Magdalena"
"Maravilla, Magdalena"
"Munting Ambling, Magdalena"
"Poblacion, Magdalena"
"Sabang, Magdalena"
"Salasad, Magdalena"
"Tanawan, Magdalena"
"Tipunan, Magdalena"
"Amonoy, Majayjay"
"Bakia, Majayjay"
"Balanac, Majayjay"
"Balayong, Majayjay"
"Banilad, Majayjay"
"Banti, Majayjay"
"Bitaoy, Majayjay"
"Botocan, Majayjay"
"Bukal, Majayjay"
"Burgos, Majayjay"
"Burol, Majayjay"
"Coralao, Majayjay"
"Gagalot, Majayjay"
"Ibabang Banga, Majayjay"
"Ibabang Bayucain, Majayjay"
"Ilayang Banga, Majayjay"
"Ilayang Bayucain, Majayjay"
"Isabang, Majayjay"
"Malinao, Majayjay"
"May-It, Majayjay"
"Munting Kawayan, Majayjay"
"Olla, Majayjay"
"Oobi, Majayjay"
"Origuel (Poblacion), Majayjay"
"Panalaban, Majayjay"
"Pangil, Majayjay"
"Panglan, Majayjay"
"Piit, Majayjay"
"Pook, Majayjay"
"Rizal, Majayjay"
"San Francisco (Poblacion), Majayjay"
"San Isidro, Majayjay"
"San Miguel (Poblacion), Majayjay"
"San Roque, Majayjay"
"Santa Catalina (Poblacion), Majayjay"
"Suba, Majayjay"
"Talortor, Majayjay"
"Tanawan, Majayjay"
"Taytay, Majayjay"
"Villa Nogales, Majayjay"
"Abo, Nagcarlan"
"Alibungbungan, Nagcarlan"
"Alumbrado, Nagcarlan"
"Balayong, Nagcarlan"
"Balimbing, Nagcarlan"
"Balinacon, Nagcarlan"
"Bambang, Nagcarlan"
"Banago, Nagcarlan"
"Banca-Banca, Nagcarlan"
"Bangcuro, Nagcarlan"
"Banilad, Nagcarlan"
"Bayaquitos, Nagcarlan"
"Buboy, Nagcarlan"
"Buenavista, Nagcarlan"
"Buhanginan, Nagcarlan"
"Bukal, Nagcarlan"
"Bunga, Nagcarlan"
"Cabuyew, Nagcarlan"
"Calumpang, Nagcarlan"
"Kanluran Kabubuhayan, Nagcarlan"
"Kanluran Lazaan, Nagcarlan"
"Labangan, Nagcarlan"
"Lagulo, Nagcarlan"
"Lawaguin, Nagcarlan"
"Maiit, Nagcarlan"
"Malaya, Nagcarlan"
"Malinao, Nagcarlan"
"Manaol, Nagcarlan"
"Maravilla, Nagcarlan"
"Nagcalbang, Nagcarlan"
"Oples, Nagcarlan"
"Palayan, Nagcarlan"
"Palina, Nagcarlan"
"Poblacion I (Poblacion), Nagcarlan"
"Poblacion II (Poblacion), Nagcarlan"
"Poblacion III (Poblacion), Nagcarlan"
"Sabang, Nagcarlan"
"San Francisco, Nagcarlan"
"Santa Lucia, Nagcarlan"
"Sibulan, Nagcarlan"
"Silangan Ilaya, Nagcarlan"
"Silangan Kabubuhayan, Nagcarlan"
"Silangan Lazaan, Nagcarlan"
"Silangan Napapatid, Nagcarlan"
"Sinipian, Nagcarlan"
"Sulsuguin, Nagcarlan"
"Talahib, Nagcarlan"
"Talangan, Nagcarlan"
"Taytay, Nagcarlan"
"Tipacan, Nagcarlan"
"Wakat, Nagcarlan"
"Yukos, Nagcarlan"
"Bagumbayan (Poblacion), Paete"
"Bangkusay (Poblacion), Paete"
"Ermita (Poblacion), Paete"
"Ibaba del Norte (Poblacion), Paete"
"Ibaba del Sur (Poblacion), Paete"
"Ilaya del Norte (Poblacion), Paete"
"Ilaya del Sur (Poblacion), Paete"
"Maytoong (Poblacion), Paete"
"Quinale (Poblacion), Paete"
"Anibong, Pagsanjan"
"Barangay I (Poblacion), Pagsanjan"
"Barangay II (Poblacion), Pagsanjan"
"Biñan, Pagsanjan"
"Buboy, Pagsanjan"
"Cabanbanan, Pagsanjan"
"Calusiche, Pagsanjan"
"Dingin, Pagsanjan"
"Lambac, Pagsanjan"
"Layugan, Pagsanjan"
"Magdapio, Pagsanjan"
"Maulawin, Pagsanjan"
"Pinagsanjan, Pagsanjan"
"Sabang, Pagsanjan"
"Sampaloc, Pagsanjan"
"San Isidro, Pagsanjan"
"Banilan, Pakil"
"Baño (Poblacion), Pakil"
"Burgos (Poblacion), Pakil"
"Casa Real, Pakil"
"Casinsin, Pakil"
"Dorado, Pakil"
"Gonzales (Poblacion), Pakil"
"Kabulusan, Pakil"
"Matikiw, Pakil"
"Rizal (Poblacion), Pakil"
"Saray, Pakil"
"Taft (Poblacion), Pakil"
"Tavera (Poblacion), Pakil"
"Balian, Pangil"
"Dambo, Pangil"
"Galalan, Pangil"
"Isla (Poblacion), Pangil"
"Mabato-Azufre, Pangil"
"Natividad (Poblacion), Pangil"
"San Jose (Poblacion), Pangil"
"Sulib, Pangil"
"Aplaya, Pila"
"Bagong Pook, Pila"
"Bukal, Pila"
"Bulilan Norte (Poblacion), Pila"
"Bulilan Sur (Poblacion), Pila"
"Concepcion, Pila"
"Labuin, Pila"
"Linga, Pila"
"Masico, Pila"
"Mojon, Pila"
"Pansol, Pila"
"Pinagbayanan, Pila"
"San Antonio, Pila"
"San Miguel, Pila"
"Santa Clara Norte (Poblacion), Pila"
"Santa Clara Sur (Poblacion), Pila"
"Tubuan, Pila"
"Antipolo, Rizal"
"East Poblacion, Rizal"
"Entablado, Rizal"
"Laguan, Rizal"
"Paule 1, Rizal"
"Paule 2, Rizal"
"Pook, Rizal"
"Tala, Rizal"
"Talaga, Rizal"
"Tuy, Rizal"
"West Poblacion, Rizal"
"Atisan, San Pablo"
"Bagong Bayan II-A (Poblacion), San Pablo"
"Bagong Pook VI-C (Poblacion), San Pablo"
"Barangay I-A (Poblacion), San Pablo"
"Barangay I-B (Poblacion), San Pablo"
"Barangay II-A (Poblacion), San Pablo"
"Barangay II-B (Poblacion), San Pablo"
"Barangay II-C (Poblacion), San Pablo"
"Barangay II-D (Poblacion), San Pablo"
"Barangay II-E (Poblacion), San Pablo"
"Barangay II-F (Poblacion), San Pablo"
"Barangay III-A (Poblacion), San Pablo"
"Barangay III-B (Poblacion), San Pablo"
"Barangay III-C (Poblacion), San Pablo"
"Barangay III-D (Poblacion), San Pablo"
"Barangay III-E (Poblacion), San Pablo"
"Barangay III-F (Poblacion), San Pablo"
"Barangay IV-A (Poblacion), San Pablo"
"Barangay IV-B (Poblacion), San Pablo"
"Barangay IV-C (Poblacion), San Pablo"
"Barangay V-A (Poblacion), San Pablo"
"Barangay V-B (Poblacion), San Pablo"
"Barangay V-C (Poblacion), San Pablo"
"Barangay V-D (Poblacion), San Pablo"
"Barangay VI-A (Poblacion), San Pablo"
"Barangay VI-B (Poblacion), San Pablo"
"Barangay VI-D (Poblacion), San Pablo"
"Barangay VI-E (Poblacion), San Pablo"
"Barangay VII-A (Poblacion), San Pablo"
"Barangay VII-B (Poblacion), San Pablo"
"Barangay VII-C (Poblacion), San Pablo"
"Barangay VII-D (Poblacion), San Pablo"
"Barangay VII-E (Poblacion), San Pablo"
"Bautista, San Pablo"
"Concepcion, San Pablo"
"Del Remedio, San Pablo"
"Dolores, San Pablo"
"San Antonio 1, San Pablo"
"San Antonio 2, San Pablo"
"San Bartolome, San Pablo"
"San Buenaventura, San Pablo"
"San Crispin, San Pablo"
"San Cristobal, San Pablo"
"San Diego, San Pablo"
"San Francisco (Calihan), San Pablo"
"San Gabriel, San Pablo"
"San Gregorio, San Pablo"
"San Ignacio, San Pablo"
"San Isidro, San Pablo"
"San Joaquin, San Pablo"
"San Jose, San Pablo"
"San Juan, San Pablo"
"San Lorenzo, San Pablo"
"San Lucas 1, San Pablo"
"San Lucas 2, San Pablo"
"San Marcos, San Pablo"
"San Mateo, San Pablo"
"San Miguel, San Pablo"
"San Nicolas, San Pablo"
"San Pedro, San Pablo"
"San Rafael, San Pablo"
"San Roque, San Pablo"
"San Vicente, San Pablo"
"Santa Ana, San Pablo"
"Santa Catalina, San Pablo"
"Santa Cruz, San Pablo"
"Santa Elena, San Pablo"
"Santa Felomina, San Pablo"
"Santa Isabel, San Pablo"
"Santa Maria, San Pablo"
"Santa Maria Magdalena, San Pablo"
"Santa Monica, San Pablo"
"Santa Veronica, San Pablo"
"Santiago I, San Pablo"
"Santiago II, San Pablo"
"Santisimo Rosario, San Pablo"
"Santo Angel, San Pablo"
"Santo Cristo, San Pablo"
"Santo Niño, San Pablo"
"Soledad, San Pablo"
"Bagong Silang, San Pedro"
"Calendola, San Pedro"
"Chrysanthemum, San Pedro"
"Cuyab, San Pedro"
"Estrella, San Pedro"
"Fatima, San Pedro"
"G.S.I.S., San Pedro"
"Landayan, San Pedro"
"Langgam, San Pedro"
"Laram, San Pedro"
"Magsaysay, San Pedro"
"Maharlika, San Pedro"
"Narra, San Pedro"
"Nueva, San Pedro"
"Pacita 1, San Pedro"
"Pacita 2, San Pedro"
"Poblacion, San Pedro"
"Riverside, San Pedro"
"Rosario, San Pedro"
"Sampaguita Village, San Pedro"
"San Antonio, San Pedro"
"San Lorenzo Ruiz, San Pedro"
"San Roque, San Pedro"
"San Vicente, San Pedro"
"Santo Niño, San Pedro"
"United Bayanihan, San Pedro"
"United Better Living, San Pedro"
"Alipit, Santa Cruz"
"Bagumbayan, Santa Cruz"
"Barangay I (Poblacion), Santa Cruz"
"Barangay II (Poblacion), Santa Cruz"
"Barangay III (Poblacion), Santa Cruz"
"Barangay IV (Poblacion), Santa Cruz"
"Barangay V (Poblacion), Santa Cruz"
"Bubukal, Santa Cruz"
"Calios, Santa Cruz"
"Duhat, Santa Cruz"
"Gatid, Santa Cruz"
"Jasaan, Santa Cruz"
"Labuin, Santa Cruz"
"Malinao, Santa Cruz"
"Oogong, Santa Cruz"
"Pagsawitan, Santa Cruz"
"Palasan, Santa Cruz"
"Patimbao, Santa Cruz"
"San Jose, Santa Cruz"
"San Juan, Santa Cruz"
"San Pablo Norte, Santa Cruz"
"San Pablo Sur, Santa Cruz"
"Santisima Cruz, Santa Cruz"
"Santo Angel Central, Santa Cruz"
"Santo Angel Norte, Santa Cruz"
"Santo Angel Sur, Santa Cruz"
"Adia, Santa Maria"
"Bagong Pook, Santa Maria"
"Bagumbayan, Santa Maria"
"Barangay I (Poblacion), Santa Maria"
"Barangay II (Poblacion), Santa Maria"
"Barangay III (Poblacion), Santa Maria"
"Barangay IV (Poblacion), Santa Maria"
"Bubukal, Santa Maria"
"Cabooan, Santa Maria"
"Calangay, Santa Maria"
"Cambuja, Santa Maria"
"Coralan, Santa Maria"
"Cueva, Santa Maria"
"Inayapan, Santa Maria"
"Jose Laurel, Sr., Santa Maria"
"Jose Rizal, Santa Maria"
"Kayhakat, Santa Maria"
"Macasipac, Santa Maria"
"Masinao, Santa Maria"
"Mataling-Ting, Santa Maria"
"Pao-o, Santa Maria"
"Parang Ng Buho, Santa Maria"
"Santiago, Santa Maria"
"Talangka, Santa Maria"
"Tungkod, Santa Maria"
"Aplaya, Santa Rosa"
"Balibago, Santa Rosa"
"Caingin, Santa Rosa"
"Dila, Santa Rosa"
"Dita, Santa Rosa"
"Don Jose, Santa Rosa"
"Ibaba, Santa Rosa"
"Kanluran (Poblacion), Santa Rosa"
"Labas, Santa Rosa"
"Macabling, Santa Rosa"
"Malitlit, Santa Rosa"
"Malusak (Poblacion), Santa Rosa"
"Market Area (Poblacion), Santa Rosa"
"Pook, Santa Rosa"
"Pulong Santa Cruz, Santa Rosa"
"Santo Domingo, Santa Rosa"
"Sinalhan, Santa Rosa"
"Tagapo, Santa Rosa"
"Acevida, Siniloan"
"Bagong Pag-Asa (Poblacion), Siniloan"
"Bagumbarangay (Poblacion), Siniloan"
"Buhay, Siniloan"
"G. Redor (Poblacion), Siniloan"
"Gen. Luna, Siniloan"
"Halayhayin, Siniloan"
"J. Rizal (Poblacion), Siniloan"
"Kapatalan, Siniloan"
"Laguio, Siniloan"
"Liyang, Siniloan"
"Llavac, Siniloan"
"Macatad, Siniloan"
"Magsaysay, Siniloan"
"Mayatba, Siniloan"
"Mendiola, Siniloan"
"P. Burgos, Siniloan"
"Pandeno, Siniloan"
"Salubungan, Siniloan"
"Wawa, Siniloan"
"Banca-Banca, Victoria"
"Daniw, Victoria"
"Masapang, Victoria"
"Nanhaya (Poblacion), Victoria"
"Pagalangan, Victoria"
"San Benito, Victoria"
"San Felix, Victoria"
"San Francisco, Victoria"
"San Roque (Poblacion), Victoria"
